timestamp,vehiculo,tipo_vehiculo,origen,destino,electrolinera,bateria_al_llegar,distancia_recorrido_km,distancia_a_electrolinera_km,recorrido_num
2026-05-17T21:33:02.851652,Renault Kwid E-Tech,baja_gama,CENFER,UIS Campus Central,Homecenter,1.45,6.804,2.5,5
2026-05-17T21:33:02.896726,Nissan Leaf,baja_gama,UIS Bucarica,UPB,CC Cañaveral,0.0,6.621,0.0,6
2026-05-17T21:33:03.017740,Nissan Leaf,baja_gama,Recreacional Catay,UIS Campus Central,Homecenter,0.0,11.629,2.5,11
2026-05-17T21:33:03.082509,Renault Kwid E-Tech,baja_gama,UIS Bucarica,PTAR Rio Frio,Terpel Piedecuesta,0.69,7.665,0.0,16
2026-05-17T21:33:03.120626,Nissan Leaf,baja_gama,UNAB,PTAR Rio Frio,Terpel Piedecuesta,0.0,6.682,0.0,17
2026-05-17T21:33:03.166132,Tesla Model 3 Long Range,alta_gama,UIS Florida,UNAB,CC Quinta Etapa,13.86,5.41,1.31,18
2026-05-17T21:33:03.235186,Renault Kwid E-Tech,baja_gama,UIS Florida,UTS,Éxito La Rosita,0.0,5.421,0.233,20
2026-05-17T21:33:03.291129,Renault Kwid E-Tech,baja_gama,UNAB,UIS Florida,CC Cañaveral,0.0,5.638,0.0,26
2026-05-17T21:33:03.408612,Nissan Leaf,baja_gama,UIS Guatiguará,UIS Campus Central,Homecenter,0.0,9.311,2.5,28
2026-05-17T21:33:03.468494,Nissan Leaf,baja_gama,Recreacional Catay,UTS,Éxito La Rosita,2.27,9.478,0.233,30
2026-05-17T21:33:03.524177,Renault Kwid E-Tech,baja_gama,PTAR Rio Frio,UTS,Éxito La Rosita,0.0,6.805,0.233,31
2026-05-17T21:33:03.581628,Renault Kwid E-Tech,baja_gama,UIS Guatiguará,UNAB,CC Quinta Etapa,14.03,6.794,1.31,37
2026-05-17T21:33:03.691377,Tesla Model 3 Long Range,alta_gama,PTAR Rio Frio,UTS,Éxito La Rosita,9.04,6.805,0.233,44
2026-05-17T21:33:03.743820,Renault Kwid E-Tech,baja_gama,UIS Bucarica,UTS,Éxito La Rosita,12.69,1.955,0.233,48
2026-05-17T21:33:03.813110,Nissan Leaf,baja_gama,UIS Campus Central,UIS Bucarica,Homecenter,2.96,1.878,0.898,52
2026-05-17T21:33:03.875424,Nissan Leaf,baja_gama,UPB,UTS,Éxito La Rosita,0.04,5.421,0.233,54
2026-05-17T21:33:03.922082,Nissan Leaf,baja_gama,Recreacional Catay,CENFER,CC Cañaveral,0.0,7.697,2.012,59
2026-05-17T21:33:03.974712,Nissan Leaf,baja_gama,UIS Bucarica,UIS Florida,CC Cañaveral,0.0,6.621,0.0,61
2026-05-17T21:33:04.023369,BYD Han EV,alta_gama,Recreacional Catay,UNAB,CC Quinta Etapa,0.0,9.569,1.31,62
2026-05-17T21:33:04.072095,Nissan Leaf,baja_gama,UIS Campus Central,UPB,CC Cañaveral,15.17,8.084,0.0,63
2026-05-17T21:33:04.103259,Nissan Leaf,baja_gama,Recreacional Catay,PTAR Rio Frio,Terpel Piedecuesta,5.99,9.076,0.0,64
2026-05-17T21:33:04.175267,Renault Kwid E-Tech,baja_gama,UNAB,UIS Florida,CC Cañaveral,0.0,5.638,0.0,68
2026-05-17T21:33:04.228403,Tesla Model 3 Long Range,alta_gama,Recreacional Catay,UNAB,CC Quinta Etapa,2.0,9.569,1.31,70
2026-05-17T21:33:04.266525,BYD Han EV,alta_gama,UNAB,UPB,CC Cañaveral,19.21,5.638,0.0,71
2026-05-17T21:33:04.334603,Renault Kwid E-Tech,baja_gama,UIS Bucarica,UNAB,CC Quinta Etapa,0.0,3.905,1.31,75
2026-05-17T21:33:04.393482,BYD Han EV,alta_gama,Recreacional Catay,UNAB,CC Quinta Etapa,17.12,9.569,1.31,77
2026-05-17T21:33:04.494195,Tesla Model 3 Long Range,alta_gama,Recreacional Catay,UIS Campus Central,Homecenter,3.81,11.629,2.5,78
